species,genus,family
Salix_herbacea,Salix,Salicaceae
Omalotheca_supina,Omalotheca,Asteraceae
Polytrichum_sexangulare,Polytrichum,Polytrichaceae
Festuca_airoides,Festuca,Poaceae
Sesleria_bielzii,Sesleria,Poaceae
Potentilla_aurea,Potentilla,Rosaceae
Vaccinium_myrtillus,Vaccinium,Ericaceae
Campanula_alpina,Campanula,Campanulaceae
Cetraria_islandica,Cetraria,Parmeliaceae
Cladonia_rangiferina,Cladonia,Cladoniaceae
Homogyne_alpina,Homogyne,Asteraceae
Campanula_rotundifolia_ssp._kladniana,Campanula,Campanulaceae
Vaccinium_uliginosum,Vaccinium,Ericaceae
Luzula_alpinopilosa,Luzula,Juncaceae
Soldanella_hungarica,Soldanella,Primulaceae
Hieracium_alpinum_ssp._augusti-bayeri,Hieracium,Asteraceae
Festuca_picturata,Festuca,Poaceae
Ligusticum_mutellina,Ligusticum,Apiaceae
Geum_montanum,Geum,Rosaceae
Poa_deylii,Poa,Poaceae
Juncus_trifidus,Juncus,Juncaceae
Carex_curvula,Carex,Cyperaceae
Deschampsia_caespitosa,Deschampsia,Poaceae
Anthoxanthum_odoratum,Anthoxanthum,Poaceae
Calamagrostis_villosa,Calamagrostis,Poaceae
Huperzia_selago,Huperzia,Huperziaceae
Pulsatilla_alba,Pulsatilla,Ranunculaceae
Veronica_baumgartenii,Veronica,Plantaginaceae
Viola_biflora,Viola,Violaceae
Sedum_alpestre,Sedum,Crassulaceae
Aconitum_napellus_ssp._firmum,Aconitum,Ranunculaceae
Doronicum_carpaticum,Doronicum,Asteraceae
